t,mx,my,mz,mqx,mqy,mqz,mqw,m_error,ex,ey,ez,eqx,eqy,eqz,eqw,vx,vy,vz,ax,ay,az,sx,sy,sz,p,q,r,m1,m2,m3,m4,vbat,armed,flying,tumbled,locked,crashed,agent_id
1775762881.8460312,0.2179407775402069,-0.06848429143428802,0.017977476119995117,0.005288595799356699,-0.01074192300438881,0.8602092266082764,-0.5098006725311279,0.0004085698164999485,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.033,0.011,-0.017,0.127,0.056,9.696,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.8460312,-0.23879848420619965,-0.10854838788509369,0.01647191122174263,0.007338264957070351,0.0011937952367588878,-0.9601466655731201,-0.2793979048728943,0.00015349536261055619,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.013,0.0,-0.018,-0.052,0.013,9.688,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239714,0.21793650090694427,-0.06848124414682388,0.017969032749533653,0.005127397365868092,-0.010599429719150066,0.8602385520935059,-0.5097558498382568,0.00040591746801510453,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.03,0.011,-0.015,0.119,0.043,9.698,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.8621583,-0.23880448937416077,-0.10854726284742355,0.01646392047405243,0.007355172652751207,0.0012146630324423313,-0.9601540565490723,-0.2793717384338379,0.0001538754440844059,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.013,0.0,-0.018,-0.052,0.013,9.688,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239722,0.21793659031391144,-0.06848534941673279,0.0179763026535511,0.005159793421626091,-0.010597598738968372,0.860237181186676,-0.5097578763961792,0.00040910529787652194,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.03,0.011,-0.015,0.119,0.043,9.698,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.8714838,-0.23882080614566803,-0.10854248702526093,0.016448648646473885,0.006950804963707924,0.0011260997271165252,-0.9601715207099915,-0.27932241559028625,0.00014675992133561522,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.0,-0.018,-0.052,0.013,9.688,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.888024,0.2179410457611084,-0.06848052144050598,0.01796722412109375,0.005241456441581249,-0.010671387426555157,0.8602423667907715,-0.5097466111183167,0.0004076134064234793,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.03,0.011,-0.015,0.119,0.043,9.698,0.0,0.0,0.0,-0.001,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234778,-0.23880666494369507,-0.10854695737361908,0.016458898782730103,0.007160488050431013,0.0012345858849585056,-0.9601549506187439,-0.2793736755847931,0.00015302206156775355,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.0,-0.018,-0.046,0.002,9.704,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239761,0.21793831884860992,-0.06848166137933731,0.017970098182559013,0.005198296625167131,-0.010670429095625877,0.860234260559082,-0.5097610354423523,0.0004080119251739234,0.219,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.011,-0.016,0.122,0.044,9.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.9061542,-0.23881255090236664,-0.10854249447584152,0.01644425094127655,0.007011593785136938,0.0011419507209211588,-0.960163414478302,-0.27934888005256653,0.00014390592696145177,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.0,-0.018,-0.046,0.002,9.704,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.920405,0.21794307231903076,-0.06848368793725967,0.01796737127006054,0.005239409394562244,-0.010597318410873413,0.8602373003959656,-0.5097569227218628,0.00040709017775952816,0.219,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.011,-0.016,0.122,0.044,9.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.920405,-0.23880638182163239,-0.10855036228895187,0.016456618905067444,0.007029328495264053,0.0013549214927479625,-0.9601595997810364,-0.2793603837490082,0.00014850663137622178,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.0,-0.018,-0.046,0.002,9.704,0.0,0.0,0.0,0.0,0.0,-0.002,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.9371674,0.21794241666793823,-0.06848303228616714,0.017975103110074997,0.00521871168166399,-0.010662847198545933,0.8602499961853027,-0.5097343325614929,0.00040792603977024555,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.011,-0.016,0.122,0.044,9.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234828,-0.23880377411842346,-0.10854886472225189,0.016456259414553642,0.007018404547125101,0.0013480447232723236,-0.9601608514785767,-0.27935701608657837,0.0001463980443077162,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.012,0.0,-0.016,-0.047,0.0,9.697,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.9538288,0.21794554591178894,-0.06848611682653427,0.017982907593250275,0.00519828125834465,-0.010580062866210938,0.8602569103240967,-0.5097245573997498,0.00040719917160458863,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.011,-0.016,0.122,0.044,9.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.9538288,-0.23880264163017273,-0.10855284333229065,0.016460079699754715,0.007082559634000063,0.001303773489780724,-0.960161566734314,-0.2793528735637665,0.00014603386807721108,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.012,0.0,-0.016,-0.047,0.0,9.697,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.970908,0.21796369552612305,-0.06848070025444031,0.01801382564008236,0.005551448091864586,-0.010560955852270126,0.8601824641227722,-0.5098468661308289,0.0004159062809776515,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.029,0.01,-0.014,0.12,0.057,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.970908,-0.23879550397396088,-0.10855430364608765,0.016472527757287025,0.006924839224666357,0.00141183624509722,-0.9601526260375977,-0.2793869376182556,0.0001431287673767656,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.012,0.0,-0.016,-0.047,0.0,9.697,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.9869783,0.21796098351478577,-0.06848444044589996,0.018015973269939423,0.005586661864072084,-0.01050975825637579,0.860223650932312,-0.5097780227661133,0.000413820642279461,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.029,0.01,-0.014,0.12,0.057,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762881.9869783,-0.23879355192184448,-0.1085558533668518,0.016475412994623184,0.006972225848585367,0.0014267365913838148,-0.9601495265960693,-0.2793962359428406,0.00014343825750984251,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.012,0.0,-0.016,-0.047,0.0,9.697,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762881.995487,0.21795733273029327,-0.06848157942295074,0.01801593415439129,0.005687815602868795,-0.010606636293232441,0.8602316975593567,-0.5097615122795105,0.00041150732431560755,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.029,0.01,-0.014,0.12,0.057,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
234891,-0.23878367245197296,-0.1085560992360115,0.016490353271365166,0.007265315856784582,0.001279379241168499,-0.9601609706878662,-0.2793503403663635,0.00014468772860709578,-0.239,-0.108,0.016,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.0,-0.018,-0.058,0.007,9.691,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
239864,0.21794883906841278,-0.068482905626297,0.017994346097111702,0.005323525983840227,-0.010702473111450672,0.8602573275566101,-0.5097200274467468,0.0004072180308867246,0.218,-0.068,0.017,0.0,-0.009686394262829417,0.8435883749489503,-0.5369029962825448,0.032,0.012,-0.016,0.119,0.048,9.684,0.0,0.0,0.0,0.001,-0.003,-0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762882.0127184,-0.23879048228263855,-0.10855507850646973,0.016487102955579758,0.007009785156697035,0.0011872232425957918,-0.9601538777351379,-0.279381662607193,0.00014678732259199023,-0.239,-0.108,0.016,-0.005535082435902524,-0.0,0.9470512299075609,0.3210347812823464,-0.013,0.0,-0.018,-0.058,0.007,9.691,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
1775762882.0292976,0.21795311570167542,-0.06849107146263123,0.018000124022364616,0.005224988795816898,-0.010690703056752682,0.8602145910263062,-0.5097935199737549,0.00040864956099539995,0.219,-0.067,0.017,0.0,-0.009686394262829417,0.8427060758981503,-0.5382867668915204,0.032,0.012,-0.016,0.119,0.048,9.684,0.0,0.0,0.0,0.001,-0.003,-0.001,0.0,0.0,0.0,0.0,4.075,True,False,False,False,False,CF_1
1775762882.0292976,-0.2387898564338684,-0.10855698585510254,0.016486437991261482,0.0071562351658940315,0.0013052272843196988,-0.9601526856422424,-0.27938130497932434,0.0001498436031397432,-0.239,-0.108,0.015,-0.005535082435902524,-0.0,0.9465810267793934,0.322418551891322,-0.013,0.0,-0.018,-0.058,0.007,9.691,0.0,0.0,0.0,0.001,-0.001,0.0,0.0,0.0,0.0,0.0,4.085,True,False,False,False,False,CF_2
